subject,elapsed_s,dwi_psnr,dwi_ssim,dwi_rmse,dwi_mae,dwi_nrmse,dwi_n_vols,fa_rmse,fa_mae,fa_nrmse,fa_r2,adc_rmse,adc_mae,adc_nrmse,adc_r2
subject_000,1180.95,32.1495,0.8088,28.353967,20.193395,0.024864,258.0,0.068165,0.050809,0.076901,0.8519,0.0001537,0.00010373,0.045234,0.8166
subject_001,1165.23,34.9324,0.8556,27.603996,19.611579,0.017996,258.0,0.065624,0.050936,0.074758,0.8869,0.00013693,9.217e-05,0.037124,0.8235
subject_002,1183.32,30.1975,0.7306,34.691525,25.118932,0.031078,258.0,0.070746,0.052556,0.078609,0.8573,0.00014704,0.00010254,0.043267,0.7444
subject_003,459.87,32.0027,0.816,25.890653,18.595676,0.025205,130.0,0.077953,0.058448,0.086614,0.8585,0.00016557,0.000117,0.047989,0.7685
subject_004,467.58,33.2067,0.8379,25.445047,18.173147,0.021888,130.0,0.078336,0.058399,0.08704,0.8587,0.0001651,0.00011649,0.050801,0.777
subject_005,452.67,30.1756,0.8278,30.335146,21.265827,0.031038,130.0,0.079701,0.059479,0.088557,0.857,0.000172,0.00011855,0.04306,0.7964
subject_006,463.98,33.3077,0.8413,29.076256,20.857053,0.021687,130.0,0.082657,0.058586,0.094513,0.7955,0.00021655,0.00014777,0.061883,0.8358
subject_007,465.63,30.5635,0.8096,27.244422,19.42411,0.029691,130.0,0.075867,0.057245,0.084297,0.8719,0.00016522,0.00011443,0.042584,0.8113
subject_008,462.0,30.9474,0.8093,28.25788,20.233768,0.028556,130.0,0.071201,0.052284,0.079126,0.841,0.00017824,0.00012298,0.050195,0.8379
subject_009,461.07,31.5962,0.8234,33.132084,23.741177,0.026397,130.0,0.078336,0.058961,0.08704,0.8623,0.00016228,0.00011345,0.051439,0.8104
subject_010,452.84,33.1486,0.8373,35.138578,25.30518,0.022077,130.0,0.082255,0.05981,0.091394,0.8257,0.00018104,0.00012473,0.058847,0.7906
subject_011,458.2,32.1837,0.8275,33.468575,24.049764,0.024676,130.0,0.074621,0.056005,0.082943,0.8695,0.00016661,0.00011297,0.045393,0.8249
subject_012,449.63,36.0852,0.8787,31.056636,22.069686,0.015732,130.0,0.071865,0.052599,0.085999,0.7862,0.00018464,0.00012665,0.05746,0.8135
subject_013,445.09,32.4214,0.8268,30.606651,21.979315,0.024059,130.0,0.075692,0.054952,0.085104,0.8268,0.00018174,0.00012472,0.050506,0.787
subject_014,440.14,32.6847,0.8274,35.574207,25.438246,0.023266,130.0,0.084611,0.061543,0.094013,0.8395,0.00017105,0.00012144,0.047691,0.8109
subject_015,436.21,32.2996,0.821,35.903853,25.716546,0.024332,130.0,0.088757,0.062095,0.098619,0.8179,0.00018429,0.00012761,0.050664,0.7861
subject_016,443.77,32.2286,0.8261,35.633237,25.479703,0.024602,130.0,0.075703,0.057013,0.084115,0.8524,0.00018366,0.00012612,0.054577,0.8295
subject_017,445.44,33.7659,0.8447,35.885281,25.697854,0.020547,130.0,0.08209,0.06066,0.091211,0.8351,0.00018415,0.00012792,0.05162,0.8211
MEAN,,32.438717,0.824989,31.294333,22.386164,0.024316,,0.076899,0.056799,0.086158,0.844117,0.000172,0.000119,0.049463,0.804744
STD,,1.537449,0.029278,3.690696,2.694501,0.004132,,0.005991,0.003641,0.006364,0.026147,1.8e-05,1.2e-05,0.006252,0.025075
