subject,elapsed_s,dwi_psnr,dwi_ssim,dwi_rmse,dwi_mae,dwi_nrmse,dwi_n_vols,fa_rmse,fa_mae,fa_nrmse,fa_r2,adc_rmse,adc_mae,adc_nrmse,adc_r2
subject_000,54.87,31.3361,0.7755,31.227925,22.09873,0.0273,258.0,0.074165,0.050834,0.08367,0.8006,0.00018226,0.00013039,0.053641,0.7829
subject_001,54.75,34.0664,0.8249,30.588952,21.638482,0.019892,258.0,0.070662,0.052481,0.080497,0.8484,0.00016384,0.00011711,0.044422,0.7755
subject_002,55.12,29.0092,0.6567,39.841944,28.368534,0.035617,258.0,0.079393,0.055593,0.088217,0.8086,0.00018439,0.00013681,0.054256,0.6973
subject_003,25.83,31.1506,0.7625,28.601583,20.482837,0.027799,130.0,0.083835,0.063366,0.09315,0.849,0.00017255,0.00012483,0.050013,0.7703
subject_004,25.91,32.2242,0.7855,28.520785,20.307231,0.024505,130.0,0.085073,0.063884,0.094525,0.8466,0.00017396,0.00012488,0.053527,0.7757
subject_005,26.08,29.2738,0.7781,33.681654,23.46057,0.034421,130.0,0.082683,0.06175,0.09187,0.8478,0.00017475,0.00012371,0.043749,0.804
subject_006,23.21,32.4181,0.7948,32.241878,23.037068,0.024028,130.0,0.08567,0.060549,0.097957,0.7809,0.00022478,0.0001611,0.064235,0.85
subject_007,23.42,29.5239,0.746,30.772327,21.850351,0.033459,130.0,0.080665,0.061227,0.089628,0.8661,0.00016904,0.0001203,0.043569,0.8182
subject_008,23.48,30.0059,0.751,31.658894,22.553533,0.031781,130.0,0.073777,0.054361,0.081989,0.8331,0.00018666,0.00013459,0.052568,0.8474
subject_009,22.79,30.5665,0.7635,37.400929,26.689117,0.029715,130.0,0.083217,0.06282,0.092464,0.8544,0.00016979,0.00012128,0.05382,0.8135
subject_010,23.18,32.4311,0.7966,38.227836,27.449954,0.023973,130.0,0.085977,0.062583,0.09553,0.8124,0.00018776,0.00013534,0.061031,0.799
subject_011,22.84,31.2278,0.7746,37.412057,26.76952,0.027541,130.0,0.078457,0.059039,0.087206,0.8625,0.00017278,0.00012097,0.047076,0.8318
subject_012,22.24,35.4054,0.8499,33.625661,23.924485,0.01701,130.0,0.073595,0.055027,0.088069,0.7872,0.00019072,0.00013675,0.059353,0.8267
subject_013,22.24,31.515,0.7746,34.071069,24.346213,0.026693,130.0,0.078895,0.057572,0.088705,0.8161,0.00019111,0.00013862,0.053111,0.7979
subject_014,22.17,31.6931,0.7708,40.111508,28.517019,0.026081,130.0,0.090041,0.064973,0.100046,0.8188,0.00019507,0.0001436,0.054387,0.8081
subject_015,19.6,31.3448,0.765,40.231178,28.637953,0.027158,130.0,0.093659,0.064937,0.104065,0.7961,0.00020455,0.0001487,0.056234,0.7881
subject_016,19.9,31.1704,0.7678,40.497041,28.692393,0.027771,130.0,0.079893,0.060493,0.08877,0.8458,0.00019147,0.00013804,0.056898,0.8416
subject_017,19.82,32.8543,0.7965,39.898777,28.466944,0.022823,130.0,0.088539,0.066077,0.098377,0.8243,0.00019061,0.00013711,0.053429,0.8289
MEAN,,31.512033,0.774128,34.922889,24.849496,0.027087,,0.081566,0.059865,0.091374,0.827706,0.000185,0.000133,0.053073,0.803161
STD,,1.617304,0.038652,4.275691,3.068244,0.004825,,0.006171,0.004571,0.006331,0.026331,1.5e-05,1.1e-05,0.005709,0.03639
